user,rec,score
0,188,5.840926647186279
0,528,5.510185718536377
0,1010,5.416653633117676
0,1226,5.416196346282959
0,1581,5.409026622772217
0,611,5.3877034187316895
0,168,5.365061283111572
0,541,5.329270839691162
0,283,5.306474208831787
0,406,5.255494117736816
0,425,5.245473384857178
0,882,5.240159511566162
0,527,5.2072343826293945
0,1578,5.156471252441406
0,491,5.126394271850586
0,170,5.120934963226318
0,749,5.11810827255249
0,655,5.096353054046631
0,485,5.0947699546813965
0,748,5.088382720947266
1,831,5.176493167877197
1,1288,4.841176509857178
1,274,4.815364360809326
1,250,4.803425312042236
1,8,4.7779154777526855
1,252,4.578653812408447
1,741,4.570349216461182
1,908,4.56460428237915
1,473,4.563492774963379
1,714,4.558128833770752
1,850,4.546708583831787
1,55,4.530237674713135
1,235,4.49271821975708
1,461,4.490504741668701
1,1158,4.4824652671813965
1,344,4.468323230743408
1,1539,4.431268692016602
1,514,4.428921222686768
1,654,4.38740873336792
1,328,4.371500492095947
2,342,5.377874851226807
2,807,5.2728729248046875
2,406,5.263193130493164
2,650,5.250873565673828
2,274,5.2264485359191895
2,528,5.206429958343506
2,694,5.192192554473877
2,344,5.160584926605225
2,644,5.137936115264893
2,189,5.098899841308594
2,63,5.080104827880859
2,1010,5.0220417976379395
2,168,5.003391742706299
2,899,4.968841075897217
2,425,4.955284118652344
2,601,4.936318874359131
2,1582,4.926322937011719
2,949,4.922755718231201
2,1136,4.911882400512695
2,197,4.881874084472656
3,1485,5.1439337730407715
3,1330,4.974903106689453
3,541,4.914272785186768
3,1441,4.909529209136963
3,601,4.85647439956665
3,133,4.8305487632751465
3,1430,4.768070220947266
3,1129,4.72951078414917
3,863,4.7247138023376465
3,1352,4.722928524017334
3,355,4.714783191680908
3,652,4.652409553527832
3,605,4.5775465965271
3,1496,4.559307098388672
3,1055,4.5284881591796875
3,928,4.522714614868164
3,642,4.510780334472656
3,202,4.508213520050049
3,503,4.501968860626221
3,659,4.487345218658447
4,1582,6.017536640167236
4,498,5.89711332321167
4,1255,5.842518329620361
4,698,5.82326078414917
4,1141,5.650435924530029
4,531,5.594785213470459
4,937,5.588615894317627
4,1554,5.566757678985596
4,695,5.508702278137207
4,1090,5.4709601402282715
4,863,5.452279090881348
4,1351,5.4412522315979
4,1134,5.4313530921936035
4,1292,5.384327411651611
4,18,5.383289813995361
4,281,5.372910499572754
4,1430,5.354003429412842
4,1566,5.3367600440979
4,884,5.322818279266357
4,934,5.319615840911865
5,683,5.512599945068359
5,198,5.1495585441589355
5,891,5.034911632537842
5,461,4.9964375495910645
5,505,4.923953533172607
5,850,4.922961711883545
5,645,4.916630268096924
5,1351,4.907179355621338
5,1058,4.882711887359619
5,1090,4.8510637283325195
5,643,4.839930534362793
5,47,4.799741268157959
5,304,4.795300006866455
5,648,4.780487537384033
5,1252,4.7712812423706055
5,949,4.770382404327393
5,1013,4.765963077545166
5,654,4.763661861419678
5,390,4.761722087860107
5,1554,4.741683483123779
6,406,5.8915228843688965
6,1010,5.728057384490967
6,1282,5.648701190948486
6,188,5.363208293914795
6,112,5.35807466506958
6,132,5.342705249786377
6,313,5.261353015899658
6,255,5.2273077964782715
6,956,5.22713041305542
6,364,5.195676803588867
6,1272,5.154329299926758
6,742,5.148791790008545
6,691,5.112521648406982
6,1582,5.0104827880859375
6,1181,4.961869716644287
6,432,4.959200382232666
6,485,4.9546356201171875
6,118,4.928290843963623
6,1054,4.910646438598633
6,1352,4.8787078857421875
7,494,5.347640037536621
7,858,5.065681457519531
7,946,5.049983501434326
7,1499,4.979029178619385
7,1011,4.869204521179199
7,631,4.86658239364624
7,1220,4.854577541351318
7,97,4.789289474487305
7,135,4.72334098815918
7,492,4.716434955596924
7,68,4.703317165374756
7,477,4.690448760986328
7,169,4.67335319519043
7,21,4.666012287139893
7,222,4.613780498504639
7,525,4.608817100524902
7,1252,4.598880767822266
7,1123,4.594263553619385
7,484,4.56436014175415
7,376,4.563601970672607
8,1012,5.736756801605225
8,135,5.720251560211182
8,128,5.694178104400635
8,832,5.644277095794678
8,498,5.5695390701293945
8,1430,5.5537214279174805
8,376,5.512726306915283
8,1255,5.486896991729736
8,748,5.483043193817139
8,49,5.4628448486328125
8,311,5.461955547332764
8,1582,5.443980693817139
8,509,5.437484264373779
8,183,5.435170650482178
8,81,5.427466869354248
8,114,5.403389930725098
8,1485,5.40280294418335
8,204,5.398457050323486
8,1444,5.38914155960083
8,172,5.385186195373535
9,498,5.598104000091553
9,937,5.5667643547058105
9,536,5.385966777801514
9,1255,5.353118896484375
9,1090,5.262059688568115
9,281,5.248777866363525
9,1554,5.188261032104492
9,945,5.072381496429443
9,683,5.019226551055908
9,698,4.991359233856201
9,254,4.9662065505981445
9,448,4.890037536621094
9,514,4.8445210456848145
9,1299,4.82904577255249
9,695,4.816287994384766
9,5,4.774020195007324
9,268,4.754855155944824
9,571,4.749872207641602
9,1154,4.743366718292236
9,1118,4.713812351226807
10,1430,5.742440223693848
10,541,5.541947841644287
10,1330,5.244120121002197
10,509,5.174139499664307
10,831,5.160914897918701
10,1485,5.147372722625732
10,1288,5.09993314743042
10,476,5.078760623931885
10,1333,5.06577205657959
10,11,5.029775142669678
10,186,4.946066856384277
10,63,4.942013740539551
10,521,4.9326252937316895
10,832,4.922012805938721
10,1129,4.9132843017578125
10,204,4.880318641662598
10,198,4.872867107391357
10,746,4.867964744567871
10,170,4.825096130371094
10,355,4.819540977478027
11,204,5.998932361602783
11,1485,5.973106861114502
11,223,5.851129055023193
11,494,5.837801456451416
11,505,5.771048069000244
11,645,5.765855312347412
11,509,5.765725612640381
11,1330,5.753370761871338
11,241,5.692545413970947
11,198,5.657847881317139
11,1147,5.581998348236084
11,13,5.570137977600098
11,863,5.5578179359436035
11,714,5.521778106689453
11,376,5.504011631011963
11,130,5.501655101776123
11,156,5.496547698974609
11,601,5.49352502822876
11,97,5.472349643707275
11,1181,5.464473247528076
12,1430,5.486446857452393
12,831,5.36112642288208
12,250,5.350070953369141
12,59,5.218081951141357
12,283,5.126589298248291
12,955,5.020555019378662
